id,question,choice_1,answer_1,choice_2,answer_2,choice_3,answer_3,choice_4,answer_4,choice_5,answer_5,media_exist,media_name,description
541,Mazkur belgi nima haqida axborot beradi?,Trolleybus yoki avtobus to'xtash joylarini bildiradi,True,Marshrutdan boshqa barcha transport vositalariga yoʻlning o'ng qatori bo'yicha harakatlanishni taqiqlaydi,False,,,,,,,True,541,YHQ 1-ilovasining 5-boʻlimi 5.12 belgi «Avtobus va trolleybus to'xtash joyi» belgisidir.
542,Qaysi belgi shlagbaumli temir yo'l kesishmasiga yaqinlashganlik haqida ogohlantiradi?,1,False,2,False,3,False,4,True,5,False,True,542,YHQ 1-ilovasining 1-bo'limidagi 1.1 «Shlagbaumli temir yo'l kesishmasi» belgisi shlagbaum bilan jihozlangan temir yo'l kesishmasiga yaqinlashayotganligi haqida ogohlantiradi.
543,Bu belgida yuk avtomobillaridan qaysi biriga harakatlanishni davom ettirishga ruxsat etiladi?,Yukxonasida odamlar bo'lgan maxsus moslashtirilgan yuk avtomobillarga,True,Furgon-yukxonada mahsulotlar tashiydigan avtomobillarga,False,'Aloqa' yozuvi bo'lgan avtomobillarga,False,,,,,True,543,"YHQ 1-ilovasining 3-boʻlimidagi 3.4 belgi talabiga muvofiq, «Yuk avtomobillarining harakatlanishi taqiqlangan» belgida cheklangan vazn koʻrsatilmagan bo'lsa, bu belgi to'la vazn 3,5 tonnadan yuqori bo'lgan barcha yuk avtomobillarining, barcha traktorlarning, o'zi yurar mashina va mexanizmlarning harakatlaninshini taqiqlaydi. Bu belgi ta'sir oralig'ida yashovchi va ishlovchilarga daxldor emas, shuningdek, bortlariga qiya oq chiziq tortilgan yoki odamlarni tashiyotgan yuk avtomobillarining harakatlanishini taqiqlamaydi."
544,"Zanjirli bo'lgan qishloq xo'jalik, yo'l qurilishi va boshqa mexanik transport vositalariga temir yo'l kesishmasidan oʻtishga ruxsat etiladimi?","Agar temir yo'l boshlig'ining ruxsati boʻlsa, ruxsat etiladi",False,Mexanik transport vositalariga yuklab olib oʻtish ruxsat etiladi,True,Taqiqlanadi,False,,,,,False,1,"YHQ 18-bobi 118-bandi 8-xatboshiga asosan, temir yoʻl kesishmasi orqali zanjirli (qishloq xo'jaligi, yo'l qurilishi va h.k.) mashina va mexanizmlarning yurib o'tishi (mexanik transport vositalariga yuklab olib o'tishga ruxsat etiladi)."
545,Harakatlanish qaysi yo'nalishda ruxsat etilgan?,Toʻgʻriga va oʻngga birinchi yo'nalishga,False,O'ngga birinchi yo'nalishga,True,O'ngga ikkinchi yo'nalishga,False,O'ngga birinchi va ikkinchi yo'nalishga,False,,,True,545,"YHQ 7-bobi 32-bandi 2-xatboshiga muvofiq, yo'naltirgich ko'rinishidagi qizil, sariq va yashil rangli svetofor ishoralari ham doira shaklidagi svetofor ishoralari bilan bir xil ma'noga ega bo'ladi. Ular faqat ko'rsatilgan yo'nalishga ta'sir etadi. Agar tegishli yo'l belgilari bilan qayrilib olish ta'qiqlanmagan bo'lsa chapga burilishga ruxsat beruvchi yo'naltirgich, qayrilib olishga ham ruxsat beradi. Qo'shimcha tarmoqdagi yashil yo'naltirgich ham xuddi shu ma'noni bildiradi."
546,Chorrahani oxiri kesib o'tadi:,Qizil avtomobil,False,Ko'k avtomobil,False,Yashil avtomobil,True,,,,,True,546,"YHQ 16-bobi 104-bandiga muvofiq, teng ahamiyatga ega bo'lmagan yo'llar kesishgan chorrahada, keyingi harakat yo'nalishidan qat'i nazar, asosiy yo'ldan kelayotgan transport vositasiga ikkinchi darajali yo'ldan kelayotgan transport vositasining haydovchisi yo'l berishi kerak. YHQ 16-bobi 107-bandiga muvofiq, chapga burilishda yoki qayrilib olishda relssiz transport vositasining haydovchisi teng ahamiyatli yo'ldan qarama-qarshi yo'nalishdan toʻgʻriga yoki o'ngga harakatlanayotgan, shuningdek, ruxsat etilgan hollarda quvib o'tayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham o'zaro amal qilishlari kerak."
547,Bu yo'l belgisi:,Ikki g'ildirakli kajavasiz mototsikllardan tashqari hamma mexanik transport vositalarining harakatlanishini taqiqlaydi,False,G'ildirakli traktorlardan tashqari hamma transport vositalarining harakatlanishini taqiqlaydi,False,Traktorlar va o'zi yurar mashinalarning harakatlanishi taqiqlanadi,True,,,,,True,547,"YHQ 1-ilovasining 3-boʻlimidagi 3.6 belgi talabiga muvofiq, «Traktorlar harakatlanishi taqiqlangan» belgisi barcha turdagi traktorlar, oʻzi yurar mashina va mexanizmlarning harakatlanishini taqiqlaydi."
548,Transport vositalari chorrahadan quyidagi tartibda o'tadilar:,"Ko'k avtomobil, tramvay, qizil avtomobil",True,"Tramvay, qizil, so'ngra ko'k avtomobil",False,"Tramvay, ko'k avtomobil chorrahaga chiqadi, qizilga yo'l beradi, so'ngra burilishni tugallaydi",False,,,,,True,548,"YHQ 16-bobi 104-bandiga muvofiq, teng ahamiyatga ega boʻlmagan yo'llar kesishgan chorrahada, keyingi harakat yo'nalishidan qat'i nazar, asosiy yo'ldan kelayotgan transport vositasiga ikkinchi darajali yo'ldan kelayotgan transport vositasining haydovchisi yo'l berishi kerak. YHQ 16-bobi 107-bandiga muvofiq, Asosiy yoʻlning yo'nalishi chorrahada oʻzgarganda, asosiy yoʻlda harakatlanayotgan haydovchilar oʻzaro teng ahamiyatli yo'llar chorrahasidan oʻtish qoidasiga amal qilishlari kerak. Ikkinchi darajali yo'llarda harakatlanayotgan haydovchilar ham oʻzaro shu qoidaga amal qilishlari lozim."
549,Egiluvchan ulagichda shatakka olganda transport vositalari orasidagi masofa qanday bo'lishi kerak?,1-3 m,False,2-4 m,False,3-6 m,False,4-6 m,True,4-8 m,False,False,1,YHQ 24-boʻlim 144-bandiga muvofiq egiluvchan ulagich bilan shatakka olishda shatakka olgan va shatakka olingan transport vositalari o'rtasidagi masofa 4-6 metr oralig'ida bo'lishi kerak. Egiluvchan ulagich qoidalarning 177-bandi talablariga binoan belgilanishi kerak.
550,"Qanday nosozlik bo'lganda, transport vositalarining harakatlanishni davom ettirishi taqiqlanadi?",Transport vositalarining tuzilishida ko'zda tutilgan oyna yuvgichlari ishlamaydi,False,Tashqi yoritish asboblari va yorugʻlik qaytargichlar belgilangan tartibda ishlamaydi yoki ifloslangan,False,Yomg'ir yoki qor yog'ayotgan vaqtda haydovchi tomonidagi oyna tozalagich ishlamaydi,True,Sanab o'tilgan barcha hollarda,False,,,False,1,"YHQ 2-bobi 12-bandi 3-xatboshiga asosan, haydovchiga: transport vositasining tormoz tizimi yoki boshqaruvi ishdan chiqsa, ulagich moslamasi (avtopoyezd tarkibida) nosoz bo'lsa, qorong'i vaqtda yoki yetarlicha koʻrinmaslik sharoitida faralar va orqa gabarit chiroqlari yonmasa, yomg'ir, qor yog'ayotgan vaqtda esa haydovchi tomonidagi oyna tozalagich ishlamay qolsa, bunday transport vositalarini harakatlanishi tagiglanadi."
551,Yonilg'i quyish joyidan yo'lga chiqish chorraha hisoblanadimi?,Hisoblanmaydi,True,Hisoblanadi,False,,,,,,,False,1,"YHQ 1-bob 6-bandi 11-izohga asosan, «Yondosh hudud» – bevosita yo'lga tutashgan va transport vositalari o'tib ketishi uchun mo'ljallanmagan hudud (hovlilar, turar joy dahalari, avtomobillarning to'xtab turish joylari, yonilg'i quyish tarmoqlari, korxona va h.k.). Yondosh hududdan chiqish joylari chorraha xisoblanmaydi."
552,Qaysi belgi 'Mehmonxona'ni bildiradi?,1,False,2,False,3,True,4,False,5,False,True,552,YHQ 1-ilovasining 6-bo'limidagi 6.9 belgi «Mehmonxona» belgisidir.
553,Belgilarning ta'siri qaysi transport vositalariga tatbiq etiladi?,Faqat yengil avtomobillarga,False,Yengil avtomobillarga va mototsikllarga,False,"Yengil avtomobillarga va ruxsat etilgan to'la vazni 3,5 tonnadan kam yoki teng bo'lgan yuk avtomobillariga",True,,,,,True,553,"YHQ 1-ilovasining 7-boʻlimidagi 7.4.3 qo'shimcha belgiga muvofiq, yengil avtomobil surati tasvirlangan «7.4.3» belgi to'la vazni 3,5 tonnagacha bo'lgan yuk avtomobillariga ham taalluqli."
554,Chorrahani oxirgi boʻlib kim kesib o'tadi?,Qizil avtomobil,True,Ko'k avtomobil,False,Yashil avtomobil,False,,,,,True,554,"YHQ 16-bobi 105-bandiga muvofiq, teng ahamiyatga ega bo'lgan yoʻllar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ng tomondan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham o'zaro amal qilishlari kerak. Bunday chorrahalarda, keyingi harakat yo'nalishidan qat'i nazar, tramvay relssiz transport vositalariga nisbatan oldin o'tish huquqiga ega bo'ladi."
555,Qizil avtomobil chorrahani kesib o'tadi:,Birinchi bo'lib,True,Ikkinchi boʻlib,False,,,,,,,True,555,"YHQ 15-bobi 99-bandiga muvofiq, svetoforning yashil ishorasida chapga burilayotgan yoki qayrilib olayotgan relssiz transport vositasining haydovchisi qarama-qarshi tomondan to'g'riga harakatlanayotgan va o'ngga burilayotgan transport vositalariga yo'l berishi shart."
556,Shaharlararo qatnaydigan avtobusning haydovchisiga aholi punktlaridan tashqarida tezlikni 80 km/soatdan oshirishga ruxsat etiladimi?,Faqat shu yo'nalishda harakatlanish uchun ikki yoki undan ortiq bo'lak bo'lgan yo'llarda harakatlanganda ruxsat etiladi,False,Ruxsat etiladi,True,Taqiqlanadi,False,,,,,False,1,"YHQ 11-bobi 79-bandiga asosan, aholi punktlaridan tashqarida shaharlararo qatnaydigan avtobuslarga va mikroavtobuslarga tezlikni soatiga 90 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi."
557,Bu joyda to'xtashga ruxsat etilganmi?,Ruxsat etilgan,False,Taqiqlangan,True,,,,,,,True,557,"YHQ 2-ilovasining 1-boʻlimidagi 1.4 chizig'i yoʻlning harakatlanish qismi chetiga yoki yo'l chetidagi to'siqqa (bordyurga) chizilgan sariq chiziq boʻlib, transport vositalarining toʻxtashini taqiqlaydi."
558,"Aholi punktidan tashqarida transport vositalarining uzoq to'xtab turishi (dam olish, tunash va hokazo)ga qayerda ruxsat etiladi?",Yo'l chetida,False,Toʻxtab turish maydonchalarida yoki yo'ldan tashqarida,True,"Yo'l qatnov qismining o'ng tomonida, biroq u boshqa transport vositalarining harakatlanishiga to'sqinlik qilmasligi kerak",False,"Yoʻlning chap tomonida, biroq harakat xavfsizligi choralariga rioya qilgan holda",False,,,False,1,"YHQ 13-bobi 90-bandiga muvofiq, aholi punktlaridan tashqarida tunab qolish, dam olish yoki boshqa maqsadlarda to'xtab turish faqat buning uchun ko'zda tutilgan maydonchalarda yoki yo'ldan tashqarida ruxsat etiladi."
559,Shatakka olish qanday hollarda taqiqlangan?,Sirpanchiqda qattiq ulagichda,False,Sirpanchiqda egiluvchan ulagichda,True,Yon kajavali mototsikllar bilan,False,,,,,False,1,"YHQ 24-bobi 145-bandiga asosan, yo'l yaxmalak, sirpanchiq bo'lgan hollarda egiluvchan ulagichda shatakka olish taqiqlanadi."
560,Ushbu yotiq chiziqlardan qaysi biri belgilangan yo'nalishdagi transport vositalari uchun to'xtashga ruxsat beradi?,A,False,B,False,V,False,"A, B, V",True,,,True,560,"YHQ 2-ilovasining 1-boʻlimidagi 1.17 belgi sariq rangdagi, arrasimon chiziq belgilangan yo'nalishli transport vositalari hamda taksilarning to'xtab turish joyini bildiradi."
561,Qaysi yoʻl asosiy yo'l hisoblanadi?,Tuproqli yo'lga nisbatan qoplamali yo'l yoki tegishli belgilar bilan belgilangan yo'l,True,Uch tomonlama chorrahada tutashib kelgan yo'lga nisbatan har ikki tomonga davom etuvchi yo'l,False,Har bir yo'nalishda harakatlanish uchun bir bo'lakli yo'lga nisbatan ko'p bo'lakli qatnov qismi bo'lgan yo'l,False,,,,,False,1,"YHQ 1-bobining 6-bandi 5-izohiga asosan, asosiy yo'l - tuproqli yoʻlga nisbatan qattiq qoplamali (asfalt, sement betonli, tosh yotqizilgan va shunga o'xshashlar), kesishayotgan yoki tutashgan yo'lga nisbatan 2.1, 2.3.1,- 2.3.3 yoki 5.1 belgilariga ega yo'l yoxud yondosh hududdan chiqadigan yo'lga nisbatan har qanday yo'l. Ikkinchi darajali yo'lning bevosita chorrahaga tutash qismining qoplamali bo'lishi unga asosiy yo'l maqomini bermaydi."
562,Qaysi qo'shimcha axborot belgisi transport vositalarini to'xtab turish joyiga qo'yish usulini ko'rsatadi?,1,False,2,False,3,True,4,False,5,False,True,562,YHQ 1-ilovasining 7-bo'limidagi 7.6.1-7.6.9 qo'shimcha axborot belgilari «Transport vositasini toʻxtab turish joyiga qo'yish usuli» belgilaridir.
563,Yotiq uzluksiz sariq chiziq «Toʻxtash taqiqlangan» belgisi bilan birga to'xtashga ruxsat etadi:,Yoʻlovchilarni tushiradigan barcha transport vositalariga,False,Avtobuslarga va trolleybuslarga,False,"Avtobuslarga, trolleybuslarga va taksi avtomobillariga",False,Faqat belgilangan yo'nalishdagi transport vositalariga,True,,,True,563,YHQ 2-ilovasining 1-boʻlimidagi 1.4 chizig'i yoʻlning harakatlanish qismi chetiga yoki yo'l chetidagi to'siqqa (bordyurga) chizilgan sariq chiziq transport vositalarining to'xtashini taqiqlaydi. 3.27 belgi talabi belgilangan yo'nalishli transportlarga daxli yo'q.
564,Sekin yurar transport vositalarining temir yo'l kesishmasi orqali harakatlanishiga faqat temir yo'l distansiyasi boshlig'ining ruxsati bilan harakat tezligi quyidagidan kam bo'lganda yo'l qo'yiladi:,3 km/s,False,5 km/s,False,8 km/s,True,10 km/s,False,30 km/s,False,False,1,"YHQ 18-bobi 118-bandi 10-xatboshiga asosan, temir yo'l kesishmasiga kirish quyidagi hollarda taqiqlanadi: - temir yo'l distansiyasi boshlig'ining ruxsatisiz tezligi soatiga 8 kilometrdan kam boʻlgan transport vositalarini olib o'tish taqiqlanadi."
565,Qizil avtomobil haydovchisi:,Yo'l berishi kerak,True,Birinchi bo'lib harakatlanishga ustunlikka ega,False,,,,,,,True,565,"YHQ 15-bobi 100-bandiga muvofiq, svetoforning qizil yoki sariq ishorasi bilan bir vaqtda yongan qoʻshimcha tarmoqning yashil ishorasidagi yoʻnaltirgich yo'nalishida harakatlanayotgan transport vositasining haydovchisi boshqa yo'nalishlardan yaqinlashayotgan transport vositalariga yo'l berishi kerak."
566,Bu belgi bilan belgilangan yoʻl qismlarida ajratuvchi boʻlakning uzilish joyida qayrilishga ruxsat etiladimi?,Ruxsat etiladi,False,Taqiqlanadi,True,"Faqat to'la vazni 3,5 tonnagacha boʻlgan transport vositalariga ruxsat etiladi",False,,,,,True,566,"YHQ 19-bobi 121-bandi 4-xatboshiga muvofiq, avtomagistrallarda quyidagilar taqiqlanadi: - ajratuvchi boʻlakning texnologik uzilish joylariga kirish va qayrilib olish."
567,Transport vositalarining trotuar va piyodalar yoʻlkasi bo'ylab harakatlanishiga yo'l qo'yiladimi?,"Yo'l qo'yiladi, agar bu piyodalarning harakatiga halal bermasa",False,"Yo'l qo'yilmaydi, chunki bu piyodalarning hayotini xavf ostiga qo'yishi mumkin",False,Bevosita shu trotuar yoki yoʻlkalarda joylashgan savdo yoki boshqa korxonalarga xizmat ko'rsatishda yo'l qo'yiladi,True,Trotuarda turgan boshqa transport vositasini aylanib o'tish uchun yo'l qo'yiladi,False,,,False,1,"YHQ 10-bobi 72-bandiga muvofiq, Qoidalarning 88, 100-bandlarida koʻzda tutilgandan boshqa hollarda transport vositalarining yo'l yoqasi, trotuar va piyodalar yo'lkalaridan harakatlanishi taqiqlanadi. Bu joylarda yo'ldan foydalanish va kommunal xizmat mashinalarining harakatlanishiga, shuningdek, boshqa imkoniyat boʻlmagan hollarda bevosita yo'l yoqasida, trotuar yoki piyodalar yo'lkalari oldida joylashgan savdo shaxobchalari, korxonalar va boshqa inshootlarga yuk olib kirish uchun transport vositalarining kirishga ruxsat etiladi. Bunday vaziyatda yo'l harakati xavfsizligi toʻla ta'minlangan boʻlishi shart."
568,Bunday yo'l belgisi bilan belgilangan yo'l qismlarida shaharlararo qatnaydigan avtobuslarning qanday eng yuqori tezlikda harakatlanishiga ruxsat etiladi?,50 km/s,False,60 km/s,False,70 km/s,False,80 km/s,False,90 km/s,True,True,568,"YHQ 11-bobi 79-bandi 2-xatboshiga asosan, aholi punktlaridan tashqarida shaharlararo qatnaydigan avtobuslarga va mikroavtobuslarga tezlikni soatiga 90 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi."
569,Mototsikllarni shatakka olishga ruxsat etiladimi?,Yon kajavali mototsikllarni shatakka olishga ruxsat etiladi,True,Taqiqlanadi,False,Tekis joylarda ruxsat etiladi,False,Yon kajavasi boʻlmagan mototsikllarni shatakka olishga ruxsat etiladi,False,,,False,1,"YHQ 24-bobi 145-bandi 5-xatboshiga asosan, kajavasiz mototsikllarni shatakka olish taqiqlangan."
570,Bu yo'l belgisi bildiradi:,Oxiri berk ko'chaga olib boradigan yo'lni,True,Aholi punktlaridagi manzil tomon harakatlanish yo'nalishini,False,Balandlikda yoki tezlanish bo'lagida qo'shimcha bo'lakning,False,,,,,True,570,"YHQ 1-ilovasining 5-boʻlimidagi 5.19.1 «Oxiri berk yo'l, ko'cha» belgisi yo'lning davomi yo'q, oxiri berk ekanligini ko'rsatib, harakatlanishni taqiqlamaydi."
571,Shatakka olingan yengil avtomobilda yo'lovchilarni tashish mumkinmi?,Egiluvchi va qattiq ulagichda ruxsat etiladi,True,Taqiqlanadi,False,,,,,,,False,1,"YHQ 24-bobning 143-bandiga muvofiq, qattiq yoki egiluvchan ulagich yordamida shatakka olingan avtobusda,trolleybusda va yuk avtomobili yukxonasida odam tashish, qisman ortish yo'li bilan shatakka olishda esa shatakka olingan transport vositasining kabinasida va yukxonasida, shuningdek, shatakka olgan transport vositasining yukxonasida odamlar bo'lishi ta'qiqlanadi."
572,Quyidagi belgi ostidagi qo'shimcha axborot belgisi haydovchiga nima haqida xabar beradi?,To'xtab turish paytida yurgizgichni o'chirish taqiqlanadi,False,Yurgizgichni o'chirish sharti bilan to'xtab turish,True,,,,,,,True,572,YHQ 1-ilovasining 7-boʻlimidagi 7.7 qoʻshimcha belgisi «Dvigatelni ishlatmasdan to'xtab turish joyi»ni bildiradi. 5.15 belgisi bilan belgilangan to'xtab turish joyida transport vositalarining dvigatelini ishlatmasdan to'xtab turishiga ruxsat etilganligini ko'rsatadi.
573,Mazkur yotiq chiziq nimani anglatadi?,Belgilangan yo'nalishdagi transport vositalari harakatlanadigan bo'lakni,False,Maxsus avtomobillar harakatlanadigan bo'lakni,False,Reversiv harakatlanish bo'lagining chegarasini,True,,,,,True,573,"YHQ 2-ilovasining 1-boʻlimidagi 1.9 chizig'i reversiv harakatlanish boʻlagi chegarasini belgilaydi; reversiv harakatlanish amalga oshiriladigan yo'llarda reversiv svetofor o'chirilgan holatda, ushbu harakat boʻlagi qarama-qarshi yo'nalishdagi transport oqimini ajratadi."
574,Chorrahani ikkinchi boʻlib kim kesib o'tadi?,Yashil avtomobil,False,Qizil avtomobil ayni vaqtda ko'k bilan,True,Sariq avtomobil,False,,,,,True,574,"YHQ 16-bobi 105-bandiga muvofiq, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham o'zaro amal qilishlari kerak. Bunday chorrahalarda, keyingi harakat yo'nalishidan qat'i nazar, tramvay relssiz transport vositalariga nisbatan oldin o'tish huquqiga ega bo'ladi."
575,Chorrahani birinchi boʻlib kesib o'tadi:,Qizil avtomobil,False,Ko'k avtomobil,False,Yashil avtomobil,True,,,,,True,575,"YHQ 15-bobi 100-bandiga muvofiq, svetoforning qizil yoki sariq ishorasi bilan bir vaqtda yongan qo'shimcha tarmoqning yashil ishorasidagi yo'naltirgich yo'nalishida harakatlanayotgan transport vositasining haydovchisi boshqa yo'nalishlardan yaqinlashayotgan transport vositalariga yoʻl berishi kerak."
576,Temir yo'l kesishmasidan o'tishda haydovchi nimaga amal qilishi kerak?,Shlagbaumning holatiga va yorugʻlik ishorasiga,False,Yo'l belgilari va chiziqlariga,False,Temir yo'l kesishmasi navbatchisining ko'rsatmalari va ishoralariga,False,Barcha sanab o'tilgan talablarga,True,,,False,576,"YHQ 18-bobining 117-bandiga muvofiq, temir yo'l kesishmasiga yaqinlashib kelayotgan haydovchi yo'l belgilari va chiziqlariga, svetofor ishoralariga, shlagbaum bholatiga, kesishma navbatchisining ko'rsatmalariga amal qilishi, yaqinlashib kelayotgan poyezd (lokomotiv, drezina) yoʻqligiga ishonch hosil qilishi shart"
577,Haydovchi quvib o'tishni boshlashdan oldin nimaga ishonch hosil qilishi kerak?,Quvib o'tayotgan transport vositasi haydovchisidan ancha tezroq harakatlanishiga,False,Shu bo'lak bo'yicha oldinda harakatlanayotgan transport vositasi haydovchisi chapga burilish (qayta tizilish) haqida ishora bermaganiga,True,U chiqishga mo'ljallagan yoʻl qismi 1000 metr masofada bo'sh ekaniga,False,,,,,False,1,"YHQ 12-bobi 82-bandi 3-xatboshiga asosan, haydovchi quvib o'tishni boshlashdan oldin: oldinda harakatlanayotgan transport vositasi quvib o'tish, chapga burilish (qayta tizilish) haqida ishora bermaganligiga ishonch hosil qilishi kerak."
578,Uzunasiga ketgan sidirg'a chizig'i bilan to'xtagan transport vositalari oʻrtasidagi masofa quyidagidan kam bo'lgan joylarda transport vositalarining toʻxtashi va to'xtab turishi taqiqlanadi:,"2,0 m",False,"3,0 m",True,"4,0 m",False,"5,0 m",False,"6,0 m",False,False,1,"YHQ 13-bobi 91-bandi 4-xatboshiga asosan, quyidagi joylarda to'xtash taqiqlanadi: - to'xtagan transport vositasi bilan sidirg'a chiziq (qatnov qismining chetini belgilagan chiziqdan tashqari) orasidagi masofa 3 metrdan kam bo'lgan joylarda."
579,Benzin bugʻidan zaharlanishning alomatlari qanday?,"Ko'z o'ngi qorong'ilashadi, bosh aylanadi, muvozanat yo'qoladi, yiqiladi. Tomir urishi sekinlashadi. Oyoq-qo'l soviydi",False,"Mastga oʻxshab harakatlanadi, bosh aylanadi, ogʻriydi, koʻngil ayniydi, qayt qiladi, mushaklari tortishadi",True,,,,,,,False,1,"Etillangan benzin (tetraetilqo'rg'oshin qo'shilgan benzin)ning birdan katta miqdori havoga ajralishidan o'tkir zaharlanish kelib chiqadi va unda ko'ngil aynish, qusish, holsizlanish, bosh aylanishi, ishtahaning yo'qolishi hollari yuzaga keladi. Og'izda metall ta'mi, tilda yot jizm sezilishi kabilar oʻziga xos belgilaridan biridir. Og'ir holatlarda asabiylashish, chayqalib yurish, alahsirash, koʻrish va eshitishga oid gallyutsinatsiyalar va tomir tortishlar kuzatiladi. Etillanmagan benzindan ham zaharlanish mumkin. Shu kabi zaharlanishning alomatlari etillangan benzindan zaharlanishni eslatadi, biroq yengilroq tarzda o'tadi."
580,Yuk avtomobilining yukxonasida 8 nafardan ko'p odamlarni tashish qaysi haydovchilarga ruxsat beriladi?,"»C» toifadagi transport vositasini boshqarish huquqi guvohnomasi boʻlib, shu avtomobilda uch yillik ish davriga ega bo'lgan haydovchilarga",False,»D» va «C» toifadagi transport vositalarini boshqarish huquqiga ega bo'lgan va shu toifadagi transport vositalaridan birini 3 yildan ortiq boshqargan haydovchilarga,True,,,,,,,False,1,"YHQ 26-bobi 152-bandiga muvofiq, yuk avtomobilining yukxonasida odam tashish «C» toifasidagi transport vositalarini boshqarish huquqiga ega bo'lgan, odamlar soni kabinadagilarni ham qo'shib hisoblaganda 8 nafardan ortiq boʻlganda esa «C» va «D» toifasidagi transport vositalarini boshqarish huquqiga ega bo'lgan va shu toifadagi transport vositalaridan birini 3 yildan ortiq boshqargan haydovchilar tomonidan amalga oshirilishi kerak."
581,«Yetarli ko'rinmaslik» deganda nima tushuniladi?,Oqshomdan tonggacha bo'lgan vaqt,False,Ko'rinish 150 metrdan kam bo'lgan holat,False,"Tuman tushganda, yomg'ir, qor yog'ayotganda va hokazo sharoitlarda, shuningdek, kunning g'ira-shira vaqtida yo'lning ko'rinishi 300 metrdan kam bo'lishi",True,"Yomg'ir, qor yog'ishi, oqshom",False,,,False,1,"YHQ 1-bobi 6-bandi 10-izohga asosan, yetarli koʻrinmaslik - yomgʻir, qor yogʻishi, tuman tushishi va shunga o'xshash sharoitlarda, shuningdek, kunning g'ira-shira vaqtida yo'lning ko'rinish masofasi 300 metrdan kam bo'lishiga aytiladi."
582,Yo'naltirgichlar bilan belgilangan yo'nalishlarning qaysi biridan harakatlanishga ruxsat etiladi?,A va B,False,B va v,False,A va V,True,,,,,True,582,"YHQ 1-ilovasining 3-boʻlimidagi 3.18.2 belgisi talabiga muvofiq, «Chapga burilish taqiqlangan» belgisi o'rnatilgan kesishmaga taluqli. Belgi orqaga qayrilib olishni taqiqlamaydi."
583,Sariq uzuq-uzuq yotiq chiziq qaysi yo'l belgisi bilan qoʻllanilishi mumkin?,«To'xtash taqiqlangan»,False,«To'xtab turish taqiqlangan»,True,«Oyning toq sonli kunlarida to'xtab turish taqiqlangan»,False,,,,,True,583,YHQ 2-ilovasining 1-bo'limidagi 1.10 chizig'i yo'lning harakatlanish qismi chetiga yoki yo'l chetidagi to'siq (bordyur) ustidan chizilgan sariq chiziq to'xtab turishni taqiqlaydi. O'zi alohida yoki 3.28 «To'xtab turish taqiqlangan» belgisi bilan qo'llanilishi mumkin.
584,"Kesishma orqali harakatlanish hollarida haydovchi «To'xtash chizig'i», 2.5 «To'xtamasdan harakatlanish taqiqlangan» yo'l belgisi yoki svetofor bo'lmaganda, o'tib ketayotgan poyezdni oʻtkazib yuborishga qoida bo'yicha shlagbaumgacha kamida qancha masofa qolganda to'xtash kerak?",1 m,False,5 m,True,10 m,False,15 m,False,20 m,False,False,1,"18-bobning 119-bandiga muvofiq, kesishma orqali harakatlanish taqiqlangan hollarda haydovchi 5.1 to'xtash chizig'i, 2.5 yo'l belgisi yoki svetofor oldida, ular bo'lmaganda shlagbaumgacha kamida 5 metr, shlagbaum boʻlmaganda esa birinchi temir yo'l iziga kamida 10 metr qolganda to'xtashi kerak."
585,Svetoforning ushbu ishorasida qaysi transport vositalariga harakatlanishga ruxsat etilgan?,Tramvayga va mototsiklga,False,"Mototsiklga, yengil avtomobil va yuk avtomobiliga",False,Yengil va yuk avtomobillariga,True,Barcha transport vositalariga,False,,,True,585,"YHQ 7-bobi 32-bandi 3-xatboshiga asosan, qoʻshimcha tarmoqdagi ishora o'chirilgan bo'lsa, shu tarmoq tartibga solayotgan yo'nalishda harakatlanish taqiqlanganligini bildiradi."
586,Ogʻir vaznli va katta o'lchamli yuklarni tashiyotgan transport vositalarining aholi punktlaridan tashqarida qanday tezlik bilan harakatlanishiga ruxsat etiladi?,40 km/soatdan oshirmasdan,False,60 km/soatdan oshirmasdan,False,Tashish shartlari bilan kelishilganda Davlat YHX xizmati ruxsat etganidan oshirmasdan,True,,,,,False,1,"YHQ 12-bobi 80-bandi 4-xatboshiga asosan, har qanday yoʻllarda: - xavfli, og'ir vaznli va katta o'lchamli yuklarni tashiyotgan, tashkiliy jamlanmada harakatlanayotgan transport vositalariga DYHXX bilan kelishilgan tezlikdan oshirmasdan harakatlanishga ruxsat etiladi."
